Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ПРОФ 60 60 3 ТУ,000000000000086564,Труба,915,10220,1022003100,102200310001500,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,60,60,##,##,##,3,##,##
ТР ПРОФ 100 100 6 НЕКОНД,000000000000086576,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,100,100,##,##,##,6,##,##
ТР ХД 32 6 СТ20 8734,000000000000086637,Труба,915,10270,1027004600,102700460001100,##,##,##,##,##,##,##,##,СТ20,8734,32,##,##,##,##,##,##,##,##,6,##,##
ТР ПРОФ 60 60 4 ТУ,000000000000086640,Труба,915,10220,1022003100,102200310001700,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,60,60,##,##,##,4,##,##
ТР ПРОФ НЛГ 60 60 4 ТУ,000000000000086641,Труба,915,10220,1022008300,102200830001300,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,60,60,##,##,##,4,##,##
ТР ПРОФ НЛГ 100 100 4 НЕКОНД,000000000000086648,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,100,100,##,##,##,4,##,##
ТР ПРОФ 60 60 4 НЕКОНД,000000000000086649,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,60,60,##,##,##,4,##,##
ТР ПРОФ НЛГ 60 60 4 НЕКОНД,000000000000086669,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,60,60,##,##,##,4,##,##
ТР ПРОФ НЛГ 100 100 5 НЕКОНД,000000000000086688,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,100,100,##,##,##,5,##,##
ТР ПРОФ 60 60 2 НЕКОНД,000000000000086689,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,60,60,##,##,##,2,##,##
ТР ПРОФ 100 100 3 НЕКОНД,000000000000086709,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,100,100,##,##,##,3,##,##
ТР ПРОФ 60 40 3 НЕКОНД,000000000000086727,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,60,40,##,##,##,3,##,##
ТР ПРОФ 50 50 3 НЕКОНД,000000000000086728,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,50,50,##,##,##,3,##,##
ТР ПРОФ НЛГ 120 120 5 НЕКОНД,000000000000086745,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,120,120,##,##,##,5,##,##
ТР ПРОФ 120 120 5 НЕКОНД,000000000000086746,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,120,120,##,##,##,5,##,##
ТР ПРОФ НЛГ 120 120 4 НЕКОНД,000000000000086757,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,120,120,##,##,##,4,##,##
ТР ПРОФ 40 40 3 НЕКОНД,000000000000086784,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,40,40,##,##,##,3,##,##
ТР ПРОФ 40 40 2 НЕКОНД,000000000000086785,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,40,40,##,##,##,2,##,##
ТР ПРОФ 10 10 1.5 Х/К 8639,000000000000086878,Труба,915,10220,1022001100,102200110001300,##,##,##,Х/К,##,##,##,##,##,8639,##,##,##,##,10,10,##,##,##,1.5,##,##
ТР ПРОФ 40 20 2 НЕКОНД,000000000000086889,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,40,20,##,##,##,2,##,##
ТР ПРОФ 40 20 1.5 НЕКОНД,000000000000086890,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,40,20,##,##,##,1.5,##,##
ТР ПРОФ 80 80 4 НЕКОНД,000000000000086891,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,80,80,##,##,##,4,##,##
ТР ПРОФ 80 80 5 НЕКОНД,000000000000086892,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,80,80,##,##,##,5,##,##
ТР ПРОФ НЛГ 80 80 4 НЕКОНД,000000000000086893,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,80,80,##,##,##,4,##,##
ТР ЭС НЛГ 114 6 10704,000000000000086905,Труба,915,10230,1023008500,102300850001300,##,##,##,##,##,##,##,##,##,10704,114,##,##,##,##,##,##,##,##,6,##,##
ТР ПРОФ 40 20 1.2 НЕКОНД,000000000000086941,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,40,20,##,##,##,1.2,##,##
ТР ЭС 108 4 НЕКОНД,000000000000086942,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,108,##,##,##,##,##,##,##,##,4,##,##
ТР ВГП 25ДУ 3.2 НЕКОНД,000000000000086944,Прочие ТМП,925,10330,1033003200,103300320001100,##,НЕКОНД,##,##,##,##,##,##,##,##,25ДУ,##,##,##,##,##,##,##,##,3.2,##,##
ТР БШ 73 9 СТ20 8732,000000000000086946,Труба,915,10190,1019004100,101900410001350,##,##,##,##,##,##,##,##,СТ20,8732,73,##,##,##,##,##,##,##,##,9,##,##
ТР ВГП 20ДУ 2.8 НЕКОНД,000000000000086974,Прочие ТМП,925,10330,1033003200,103300320001100,##,НЕКОНД,##,##,##,##,##,##,##,##,20ДУ,##,##,##,##,##,##,##,##,2.8,##,##
ТР ЭС НЛГ 159 5 НЕКОНД,000000000000086975,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,159,##,##,##,##,##,##,##,##,5,##,##
ТР ЭС НЛГ 159 6 НЕКОНД,000000000000086976,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,159,##,##,##,##,##,##,##,##,6,##,##
DIY ТР ПРОФ 40 20 1.2 3М,000000000000086984,Труба,915,10220,1022002100,102200210001100,##,##,##,##,##,##,##,##,##,##,##,3М,##,##,40,20,##,##,##,1.2,##,##
ТР ХД НЛГ 27 4 09Г2С 8734,000000000000086995,Труба,915,10270,1027011500,102701150001100,##,##,##,##,##,##,##,##,09Г2С,8734,27,##,##,##,##,##,##,##,##,4,##,##
ТР ПРОФ 50 50 2 НЕКОНД,000000000000087021,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,50,50,##,##,##,2,##,##
ТР ПРОФ 25 25 1.5 Х/К НЕКОНД,000000000000087022,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,Х/К,##,##,##,##,##,##,##,##,##,##,25,25,##,##,##,1.5,##,##
ТР ПРОФ 120 120 6 НЕКОНД,000000000000087023,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,120,120,##,##,##,6,##,##
ТР ПРОФ НЛГ 80 80 5 НЕКОНД,000000000000087024,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,80,80,##,##,##,5,##,##
ТР ЭС 114 4 НЕКОНД,000000000000087025,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,114,##,##,##,##,##,##,##,##,4,##,##
ТР ЭС 114 4.5 НЕКОНД,000000000000087026,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,114,##,##,##,##,##,##,##,##,4.5,##,##
ТР ЭС 76 3 НЕКОНД,000000000000087027,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,76,##,##,##,##,##,##,##,##,3,##,##
ТР ВГП 40ДУ 3.5 НЕКОНД,000000000000087028,Прочие ТМП,925,10330,1033003200,103300320001100,##,НЕКОНД,##,##,##,##,##,##,##,##,40ДУ,##,##,##,##,##,##,##,##,3.5,##,##
ТР ЭС 159 6 НЕКОНД,000000000000087029,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,159,##,##,##,##,##,##,##,##,6,##,##
DIY ТР ПРОФ 20 20 1.2 3М,000000000000087030,Труба,915,10220,1022001400,102200140001200,##,##,##,##,##,##,##,##,##,##,##,3М,##,##,20,20,##,##,##,1.2,##,##
ТР БШ 95 8 СТ20 8732,000000000000087066,Труба,915,10190,1019004600,101900460001450,##,##,##,##,##,##,##,##,СТ20,8732,95,##,##,##,##,##,##,##,##,8,##,##
ТР ХД 63 4 СТ20 8734,000000000000087067,Труба,915,10270,1027006100,102700610001100,##,##,##,##,##,##,##,##,СТ20,8734,63,##,##,##,##,##,##,##,##,4,##,##
ТР ПРОФ 60 40 3 ТУ,000000000000087100,Труба,915,10220,1022003000,102200300001500,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,60,40,##,##,##,3,##,##
ТР БШ НЛГ 219 12 09Г2С 8732,000000000000087233,Труба,915,10190,1019010000,101901000001700,##,##,##,##,##,##,##,##,09Г2С,8732,219,##,##,##,##,##,##,##,##,12,##,##
ТР ВГП 40ДУ 1.8 ТУ,000000000000087283,Труба,915,10230,1023001600,102300160001100,##,##,##,##,##,##,##,##,##,ТУ,40ДУ,##,##,##,##,##,##,##,##,1.8,##,##
ТР ПРОФ НЛГ 120 80 6 8645/30245,000000000000087290,Труба,915,10220,1022009100,102200910001300,##,##,##,##,##,##,##,##,##,8645/30245,##,##,##,##,120,80,##,##,##,6,##,##
ТР ПРОФ 50 50 2 ТУ,000000000000087293,Труба,915,10220,1022002800,102200280001200,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,50,50,##,##,##,2,##,##
DIY ТР ПРОФ 60 40 1.5 2.5М,000000000000087299,Труба,915,10220,1022003000,102200300000900,##,##,##,##,##,##,##,##,##,##,##,2.5М,##,##,60,40,##,##,##,1.5,##,##
DIY ТР ПРОФ 60 60 1.5 2.5М,000000000000087333,Труба,915,10220,1022003100,102200310001100,##,##,##,##,##,##,##,##,##,##,##,2.5М,##,##,60,60,##,##,##,1.5,##,##
ТР ПРОФ 60 40 2 ТУ,000000000000087411,Труба,915,10220,1022003000,102200300001200,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,60,40,##,##,##,2,##,##
ТР ЭС 54 2 10704,000000000000087421,Труба,915,10230,1023004750,102300475001100,##,##,##,##,##,##,##,##,##,10704,54,##,##,##,##,##,##,##,##,2,##,##
ТР ХД НЛГ 42 4 09Г2С 8734,000000000000087448,Труба,915,10270,1027012400,102701240001100,##,##,##,##,##,##,##,##,09Г2С,8734,42,##,##,##,##,##,##,##,##,4,##,##
ТР ПРОФ 240 160 8 30245,000000000000087474,Труба,915,10220,1022006100,102200610001200,##,##,##,##,##,##,##,##,##,30245,##,##,##,##,240,160,##,##,##,8,##,##
ТР ЭС 219 8 НЕКОНД,000000000000087491,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,219,##,##,##,##,##,##,##,##,8,##,##
ТР ПРОФ НЛГ 160 160 5 НЕКОНД,000000000000087492,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,160,160,##,##,##,5,##,##
ТР ПРОФ 60 60 2 ТУ,000000000000087493,Труба,915,10220,1022003100,102200310001200,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,60,60,##,##,##,2,##,##
ТР ПРОФ ОЦ 60 60 2 ОЦ ТУ,000000000000087494,Труба,915,10210,1021005100,102100510001300,##,##,##,##,ОЦ,##,##,##,##,ТУ,##,##,##,##,60,60,##,##,##,2,##,##
ТР ПРОФ ОЦ 60 60 2 ОЦ НЕКОНД,000000000000087495,Прочие ТМП,925,10330,1033003450,103300345001100,##,НЕКОНД,##,##,ОЦ,##,##,##,##,##,##,##,##,##,60,60,##,##,##,2,##,##
ТР ПРОФ ОЦ 40 20 1.5 ОЦ НЕКОНД,000000000000087496,Прочие ТМП,925,10330,1033003450,103300345001100,##,НЕКОНД,##,##,ОЦ,##,##,##,##,##,##,##,##,##,40,20,##,##,##,1.5,##,##
ТР БШ 48 6 ГОСТ,000000000000087651,Труба,915,10190,1019003100,101900310001800,##,##,##,##,##,##,##,##,##,ГОСТ,48,##,##,##,##,##,##,##,##,6,##,##
ТР БШ 54 4 СТ20 8732,000000000000087687,Труба,915,10190,1019003400,101900340001120,##,##,##,##,##,##,##,##,СТ20,8732,54,##,##,##,##,##,##,##,##,4,##,##
ТР БШ НЛГ 273 25 09Г2С 8732,000000000000087688,Труба,915,10190,1019010200,101901020001550,##,##,##,##,##,##,##,##,09Г2С,8732,273,##,##,##,##,##,##,##,##,25,##,##
ТР ПРОФ НЛГ 180 180 10 8639/30245,000000000000087713,Труба,915,10220,1022010300,102201030001600,##,##,##,##,##,##,##,##,##,8639/30245,##,##,##,##,180,180,##,##,##,10,##,##
ТР ЭС НЛГ 219 8 НЕКОНД,000000000000087769,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,219,##,##,##,##,##,##,##,##,8,##,##
ТР ПРОФ 20 20 1.2 НЕКОНД,000000000000088137,Прочие ТМП,925,10330,1033003500,103300350001100,##,НЕКОНД,##,##,##,##,##,##,##,##,##,##,##,##,20,20,##,##,##,1.2,##,##
ТР ПРОФ ОЦ 20 20 1.2 ОЦ НЕКОНД,000000000000088138,Прочие ТМП,925,10330,1033003450,103300345001100,##,НЕКОНД,##,##,ОЦ,##,##,##,##,##,##,##,##,##,20,20,##,##,##,1.2,##,##
ТР ПРОФ ОЦ 20 20 1.5 ОЦ НЕКОНД,000000000000088139,Прочие ТМП,925,10330,1033003450,103300345001100,##,НЕКОНД,##,##,ОЦ,##,##,##,##,##,##,##,##,##,20,20,##,##,##,1.5,##,##
ТР ЭС НЛГ 219 6 НЕКОНД,000000000000088141,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,219,##,##,##,##,##,##,##,##,6,##,##
ТР ВГП 25ДУ 2.35 3262,000000000000088168,Труба,915,10230,1023001400,102300140001100,##,##,##,##,##,##,##,##,##,3262,25ДУ,##,##,##,##,##,##,##,##,2.35,##,##
ТР ЭС 89 4 НЕКОНД,000000000000088170,Прочие ТМП,925,10330,1033003800,103300380001100,##,НЕКОНД,##,##,##,##,##,##,##,##,89,##,##,##,##,##,##,##,##,4,##,##
ТР ЭС 530 14 10704,000000000000088179,Труба,915,10230,1023006900,102300690001800,##,##,##,##,##,##,##,##,##,10704,530,##,##,##,##,##,##,##,##,14,##,##
ТР ЭС 1020 14 10704,000000000000088180,Труба,915,10230,1023007300,102300730001500,##,##,##,##,##,##,##,##,##,10704,1020,##,##,##,##,##,##,##,##,14,##,##
ТР ПРОФ 90 90 5 8639/30245,000000000000088198,Труба,915,10220,1022003600,102200360001000,##,##,##,##,##,##,##,##,##,8639/30245,##,##,##,##,90,90,##,##,##,5,##,##
ТР ХД 60 3.5 СТ20 8734,000000000000088265,Труба,915,10270,1027006000,102700600001100,##,##,##,##,##,##,##,##,СТ20,8734,60,##,##,##,##,##,##,##,##,3.5,##,##
ТР ПРОФ 140 120 5 8645/30245,000000000000088293,Труба,915,10220,1022004650,102200465001500,##,##,##,##,##,##,##,##,##,8645/30245,##,##,##,##,140,120,##,##,##,5,##,##
ТР ПРОФ 50 50 3 ТУ,000000000000088339,Труба,915,10220,1022002800,102200280001400,##,##,##,##,##,##,##,##,##,ТУ,##,##,##,##,50,50,##,##,##,3,##,##
ТР ЭС 57 3.5 ТУ,000000000000088359,Труба,915,10230,1023004900,102300490001600,##,##,##,##,##,##,##,##,##,ТУ,57,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ 95 20 СТ20 8732,000000000000088369,Труба,915,10190,1019004600,101900460001800,##,##,##,##,##,##,##,##,СТ20,8732,95,##,##,##,##,##,##,##,##,20,##,##
ТР БШ 203 36 СТ20 8732,000000000000088370,Труба,915,10190,1019006200,101900620001800,##,##,##,##,##,##,##,##,СТ20,8732,203,##,##,##,##,##,##,##,##,36,##,##
ТР ЭС 48 3.5 10704,000000000000088414,Труба,915,10230,1023004500,102300450001500,##,##,##,##,##,##,##,##,##,10704,48,##,##,##,##,##,##,##,##,3.5,##,##
ТР БШ НЛГ 450 12 09Г2С 8732,000000000000088458,Труба,915,10190,1019010550,101901055001500,##,##,##,##,##,##,##,##,09Г2С,8732,450,##,##,##,##,##,##,##,##,12,##,##
ТР БШ НЛГ 68 4 09Г2С 8732,000000000000088464,Труба,915,10190,1019008370,101900837001200,##,##,##,##,##,##,##,##,09Г2С,8732,68,##,##,##,##,##,##,##,##,4,##,##
ТР ПРОФ НЛГ 100 100 3 ТУ 004-А,000000000000088474,Труба,915,10220,1022008700,102200870001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,100,##,##,##,3,##,##
ТР ПРОФ НЛГ 100 100 4 ТУ 004-А,000000000000088475,Труба,915,10220,1022008700,102200870001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,100,##,##,##,4,##,##
ТР ПРОФ НЛГ 100 100 5 ТУ 004-А,000000000000088476,Труба,915,10220,1022008700,102200870001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,100,##,##,##,5,##,##
ТР ПРОФ НЛГ 100 100 6 ТУ 004-А,000000000000088477,Труба,915,10220,1022008700,102200870001400,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,100,##,##,##,6,##,##
ТР ПРОФ НЛГ 100 100 7 ТУ 004-А,000000000000088478,Труба,915,10220,1022008700,102200870001500,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,100,##,##,##,7,##,##
ТР ПРОФ НЛГ 100 100 8 ТУ 004-А,000000000000088479,Труба,915,10220,1022008700,102200870001600,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,100,##,##,##,8,##,##
ТР ПРОФ НЛГ 100 50 4 ТУ 004-А,000000000000088480,Труба,915,10220,1022008800,102200880001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,100,50,##,##,##,4,##,##
ТР ПРОФ НЛГ 120 120 4 ТУ 004-А,000000000000088511,Труба,915,10220,1022009000,102200900001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,120,##,##,##,4,##,##
ТР ПРОФ НЛГ 120 120 5 ТУ 004-А,000000000000088512,Труба,915,10220,1022009000,102200900001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,120,##,##,##,5,##,##
ТР ПРОФ НЛГ 120 120 6 ТУ 004-А,000000000000088513,Труба,915,10220,1022009000,102200900001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,120,##,##,##,6,##,##
ТР ПРОФ НЛГ 120 120 7 ТУ 004-А,000000000000088514,Труба,915,10220,1022009000,102200900001400,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,120,##,##,##,7,##,##
ТР ПРОФ НЛГ 120 120 8 ТУ 004-А,000000000000088515,Труба,915,10220,1022009000,102200900001500,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,120,##,##,##,8,##,##
ТР ПРОФ НЛГ 120 80 4 ТУ 004-А,000000000000088516,Труба,915,10220,1022009100,102200910001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,80,##,##,##,4,##,##
ТР ПРОФ НЛГ 120 80 5 ТУ 004-А,000000000000088517,Труба,915,10220,1022009100,102200910001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,80,##,##,##,5,##,##
ТР ПРОФ НЛГ 120 80 6 ТУ 004-А,000000000000088518,Труба,915,10220,1022009100,102200910001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,80,##,##,##,6,##,##
ТР ПРОФ НЛГ 120 80 8 ТУ 004-А,000000000000088519,Труба,915,10220,1022009100,102200910001400,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,120,80,##,##,##,8,##,##
ТР ПРОФ НЛГ 140 140 4 ТУ 004-А,000000000000088520,Труба,915,10220,1022009300,102200930001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,140,140,##,##,##,4,##,##
ТР ПРОФ НЛГ 140 140 5 ТУ 004-А,000000000000088521,Труба,915,10220,1022009300,102200930001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,140,140,##,##,##,5,##,##
ТР ПРОФ НЛГ 140 140 6 ТУ 004-А,000000000000088522,Труба,915,10220,1022009300,102200930001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,140,140,##,##,##,6,##,##
ТР ПРОФ НЛГ 140 140 7 ТУ 004-А,000000000000088523,Труба,915,10220,1022009300,102200930001400,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,140,140,##,##,##,7,##,##
ТР ПРОФ НЛГ 140 140 8 ТУ 004-А,000000000000088524,Труба,915,10220,1022009300,102200930001500,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,140,140,##,##,##,8,##,##
ТР ПРОФ НЛГ 160 160 4 ТУ 004-А,000000000000088525,Труба,915,10220,1022009900,102200990001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,160,160,##,##,##,4,##,##
ТР ПРОФ НЛГ 160 160 5 ТУ 004-А,000000000000088526,Труба,915,10220,1022009900,102200990001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,160,160,##,##,##,5,##,##
ТР ПРОФ НЛГ 160 160 6 ТУ 004-А,000000000000088527,Труба,915,10220,1022009900,102200990001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,160,160,##,##,##,6,##,##
ТР ПРОФ НЛГ 160 160 8 ТУ 004-А,000000000000088528,Труба,915,10220,1022009900,102200990001500,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,160,160,##,##,##,8,##,##
ТР ПРОФ НЛГ 160 80 5 ТУ 004-А,000000000000088529,Труба,915,10220,1022010000,102201000001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,160,80,##,##,##,5,##,##
ТР ПРОФ НЛГ 160 80 6 ТУ 004-А,000000000000088530,Труба,915,10220,1022010000,102201000001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,160,80,##,##,##,6,##,##
ТР ПРОФ НЛГ 40 40 3 ТУ 004-А,000000000000088531,Труба,915,10220,1022008000,102200800001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,40,40,##,##,##,3,##,##
ТР ПРОФ НЛГ 40 40 4 ТУ 004-А,000000000000088532,Труба,915,10220,1022008000,102200800001400,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,40,40,##,##,##,4,##,##
ТР ПРОФ НЛГ 50 50 3 ТУ 004-А,000000000000088533,Труба,915,10220,1022008100,102200810001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,50,50,##,##,##,3,##,##
ТР ПРОФ НЛГ 50 50 4 ТУ 004-А,000000000000088534,Труба,915,10220,1022008100,102200810001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,50,50,##,##,##,4,##,##
ТР ПРОФ НЛГ 60 40 3 ТУ 004-А,000000000000088535,Труба,915,10220,1022008200,102200820001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,60,40,##,##,##,3,##,##
ТР ПРОФ НЛГ 60 40 4 ТУ 004-А,000000000000088536,Труба,915,10220,1022008200,102200820001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,60,40,##,##,##,4,##,##
ТР ПРОФ НЛГ 60 60 3 ТУ 004-А,000000000000088537,Труба,915,10220,1022008300,102200830001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,60,60,##,##,##,3,##,##
ТР ПРОФ НЛГ 60 60 4 ТУ 004-А,000000000000088538,Труба,915,10220,1022008300,102200830001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,60,60,##,##,##,4,##,##
ТР ПРОФ НЛГ 80 40 3 ТУ 004-А,000000000000088539,Труба,915,10220,1022008400,102200840001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,40,##,##,##,3,##,##
ТР ПРОФ НЛГ 80 40 4 ТУ 004-А,000000000000088540,Труба,915,10220,1022008400,102200840001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,40,##,##,##,4,##,##
ТР ПРОФ НЛГ 80 60 4 ТУ 004-А,000000000000088541,Труба,915,10220,1022008500,102200850001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,60,##,##,##,4,##,##
ТР ПРОФ НЛГ 80 80 3 ТУ 004-А,000000000000088542,Труба,915,10220,1022008600,102200860001100,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,80,##,##,##,3,##,##
ТР ПРОФ НЛГ 80 80 4 ТУ 004-А,000000000000088543,Труба,915,10220,1022008600,102200860001200,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,80,##,##,##,4,##,##
ТР ПРОФ НЛГ 80 80 5 ТУ 004-А,000000000000088544,Труба,915,10220,1022008600,102200860001300,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,80,##,##,##,5,##,##
ТР ПРОФ НЛГ 80 80 6 ТУ 004-А,000000000000088545,Труба,915,10220,1022008600,102200860001400,##,##,##,##,##,##,##,##,##,ТУ 004-А,##,##,##,##,80,80,##,##,##,6,##,##
ТР ПРОФ НЛГ 100 100 3 ТУ 004-Б,000000000000088546,Труба,915,10220,1022008700,102200870001100,##,##,##,##,##,##,##,##,##,ТУ 004-Б,##,##,##,##,100,100,##,##,##,3,##,##
ТР ПРОФ НЛГ 100 100 4 ТУ 004-Б,000000000000088547,Труба,915,10220,1022008700,102200870001200,##,##,##,##,##,##,##,##,##,ТУ 004-Б,##,##,##,##,100,100,##,##,##,4,##,##
