Материал название,Материал номер,Иерархия 0 уровень,Иерархия 0 номер,Иерархия 1 уровень,Иерархия 2 уровень,Иерархия 3 уровень,Материал. Признак 1,Материал. Признак 10,Материал. Признак 2,Материал. Признак 3,Материал. Признак 4,Материал. Признак 5,Материал. Признак 6,Материал. Признак 7,Материал. Признак 8,Материал. Признак 9,Материал. Размер 1,Материал. Размер 10,Материал. Размер 11,Материал. Размер 12,Материал. Размер 2,Материал. Размер 3,Материал. Размер 4,Материал. Размер 5,Материал. Размер 6,Материал. Размер 7,Материал. Размер 8,Материал. Размер 9
ТР ОЦ 133 4.5 10704,000000000000007336,Труба,915,10210,1021002700,102100270001100,##,##,##,##,##,##,##,##,##,10704,133,##,##,##,##,##,##,##,##,4.5,##,##
ТР ОЦ 159 НЕКОНД,000000000000007337,Прочие ТМП,925,10330,1033003400,103300340001100,##,НЕКОНД,##,##,##,##,##,##,##,##,159,##,##,##,##,##,##,##,##,##,##,##
ТР ОЦ 159 3.5 10704,000000000000007338,Труба,915,10210,1021002800,102100280001100,##,##,##,##,##,##,##,##,##,10704,159,##,##,##,##,##,##,##,##,3.5,##,##
ТР ОЦ 159 4 10704,000000000000007339,Труба,915,10210,1021002800,102100280001100,##,##,##,##,##,##,##,##,##,10704,159,##,##,##,##,##,##,##,##,4,##,##
ТР ОЦ 159 4.5 10704,000000000000007340,Труба,915,10210,1021002800,102100280001100,##,##,##,##,##,##,##,##,##,10704,159,##,##,##,##,##,##,##,##,4.5,##,##
ТР ОЦ 159 5 10704,000000000000007341,Труба,915,10210,1021002800,102100280001100,##,##,##,##,##,##,##,##,##,10704,159,##,##,##,##,##,##,##,##,5,##,##
ТР ОЦ 219 НЕКОНД,000000000000007342,Прочие ТМП,925,10330,1033003400,103300340001100,##,НЕКОНД,##,##,##,##,##,##,##,##,219,##,##,##,##,##,##,##,##,##,##,##
ТР ОЦ 219 6 10704,000000000000007343,Труба,915,10210,1021002900,102100290001100,##,##,##,##,##,##,##,##,##,10704,219,##,##,##,##,##,##,##,##,6,##,##
ТР ХД 6 НЕКОНД,000000000000007344,Прочие ТМП,925,10330,1033003600,103300360001100,##,НЕКОНД,##,##,##,##,##,##,##,##,6,##,##,##,##,##,##,##,##,##,##,##
ТР ХД 6 1 СТ20 8734,000000000000007345,Труба,915,10270,1027002800,102700280001100,##,##,##,##,##,##,##,##,СТ20,8734,6,##,##,##,##,##,##,##,##,1,##,##
